typology_id,code,description_en
annex1,1530,"Halophytic vegetation of the Pannonian and Ponto-Sarmatic lowlands, formed under a continental climate with hot, arid summers that draw salt to the surface through evaporation from shallow groundwater. The type spans dry salt pans and steppes, humid salt meadows and the zoned annual vegetation of periodically flooded salt lakes, with Artemisia santonicum, Puccinellia species, Camphorosma annua, Festuca pseudovina and Plantago tenuiflora among the dominants, and Juncus gerardii, Aster tripolium and Carex distans in the wetter zones. Much of the vegetation is of natural origin but has long been shaped by extensive cattle grazing, which keeps the sward open and prevents encroachment by reed and scrub; abandonment of grazing as much as drainage threatens the type today. Zonation from dry steppe through salt meadow to the flooded lake margin is the diagnostic feature in the field, more reliable than any single species. It contrasts with the seepage-bound inland salt meadows of 1340 by its steppic, climatically driven salinity and its characteristic zoned mosaic around shallow salt lakes."
annex1,1610,"Vegetation of glaciofluvial islands in the Baltic archipelago, built from well sorted sand, gravel or till with scattered stones and boulders, and shaped by brackish water, ongoing post-glacial land upheaval and constant wind and sun exposure. Succession following land upheaval produces a mosaic of beach, heath and grassland stages in the same small area, with Calluna vulgaris, Empetrum nigrum and Juniperus communis on older, more developed ground and Honckenya peploides, Cakile maritima and Leymus arenarius on the youngest, most exposed shore. Bare bedrock and sparse pioneer stands are common, and bird guano locally raises nutrient input and species diversity. The habitat includes the adjoining sublittoral vegetation of algae such as Fucus vesiculosus and Chara aspera, and provides important nesting sites for seabirds and haul out sites for seals. It differs from the boreal Baltic sandy beaches of 1640 by its rocky, esker derived substrate and from the small islets of 1620 by its distinctly sorted glaciofluvial material rather than bare Precambrian bedrock."
annex1,1620,"Vegetation of skerries, islets and small rocky islands in the outer Baltic archipelago, built on Precambrian metamorphic bedrock, till or thin sediment, mostly treeless and often almost bare. Wind, salt spray, intense sunlight and ongoing land upheaval drive a sparse, mosaic like pioneer vegetation, with Sedum acre, Silene viscosa, Juniperus communis and Cochlearia danica among the characteristic plants and xerophytes and lichens prominent on the most exposed rock. Bird colonies raise local nutrient levels through guano, increasing species diversity around nesting sites, and shallow rockpools carry their own distinct aquatic flora and fauna. The surrounding sublittoral vegetation of algae such as Fucus vesiculosus and Furcellaria lumbricalis belongs to the same type. Land upheaval keeps the vegetation in permanent, slow succession rather than a stable end stage. It is distinguished from the esker islands of 1610 by its bare Precambrian bedrock in place of sorted glaciofluvial sand and gravel."
annex1,1640,"Perennial vegetation of sheltered to exposed sandy beaches on the Finnish and Swedish Baltic coast, gently sloping and shaped by wave action but far less by tides than Atlantic beaches, which favours a higher share of perennial species over annuals. Sand binding plants dominate, chiefly Ammophila arenaria, Leymus arenarius and Elytrigia juncea subsp. boreoatlantica, with Lathyrus japonicus subsp. maritimus, Honckenya peploides and Cakile maritima among the associates and occasional stones or boulders scattered through the sand. Large areas of bare sand persist nearest the shore, and drift belts of stranded organic matter along the upper beach support a conspicuous insect fauna. Baltic sand beaches of this kind are relatively uncommon and typically small, more restricted than equivalent Atlantic sand beaches. Grazing or trampling pressure is usually low given the remoteness of most sites, and the chief threat is direct physical disturbance of the shore. It differs from the Atlantic and Baltic sand beach type by its stronger cover of perennial sand binders relative to annual pioneers."
annex1,2110,"The earliest stage of dune formation, low ridges and hummocks of wind blown sand at the upper edge of the beach or as a narrow seaward fringe at the foot of taller dunes. On Atlantic and Baltic coasts the pioneers are Elymus farctus, Leymus arenarius and Honckenya peploides; further south, on Mediterranean and Black Sea shores, Sporobolus pungens, Otanthus maritimus, Medicago marina and Eryngium maritimum take their place. These grasses and creeping herbs trap sand carried up from the beach, building the low, still discontinuous ridges that either wash away in the next storm or develop further into the taller, more stable ridges of 2120. The vegetation cover is sparse and species poor, on sand still close to the strandline and largely free of humus. Because the embryonic ridges are the first line of natural coastal defence, trampling and beach cleaning at this stage prevent dune building altogether rather than merely damaging established vegetation. The type grades seaward into the annual drift line vegetation of 1210 and landward into the white dunes of 2120."
annex1,2120,"Mobile, still actively building dunes forming the seaward ridge or ridges of a dune system, dominated by Ammophila arenaria, whose deep, fast growing root system copes with continuous sand burial. On Atlantic and Baltic coasts it grows with Eryngium maritimum, Euphorbia paralias and Calystegia soldanella; on Mediterranean shores with Echinophora spinosa and Cutandia maritima; and on the Zygophyllion fontanesii of parts of the Mediterranean, distinct associates such as Zygophyllum fontanesii and the rare endemic Androcymbium psammophilum appear instead. The dunes remain mobile as long as sand supply continues, with the marram grass advancing upward through accumulating sand faster than it is buried. Cover is open with few species, on nutrient poor sand largely free of organic matter. Trampling breaches the marram cover and triggers blow outs that can destabilise the whole ridge. The type follows on from the embryonic dunes of 2110 and stabilises further inland into the fixed grey dunes of 2130 once sand supply slows."
annex1,2130,"Fixed, no longer mobile dunes stabilised by a closed cover of perennial grassland with abundant lichens and mosses, on Atlantic, Channel, North Sea, Baltic and Black Sea coasts. Northern stands of the Galio-Koelerion carry Corynephorus canescens and Festuca rubra with Tortula ruraliformis and Cladonia lichens; further south, dwarf shrub rich Biscay grey dunes of the Euphorbio-Helichrysion add Helichrysum stoechas and Artemisia campestris, and thermo-Atlantic stands of the Crucianellion maritimae are built around Crucianella maritima. Locally, dune grassland grades inland into calcicole Mesobromion swards or thermophilous Trifolio-Geranietea fringes with Geranium sanguineum, and sparse Thero-Airion swards occupy the most oligotrophic sand. Calcium content falls with dune age, driving succession toward acidic dune heath. Grazing or mowing has traditionally kept the sward open; abandonment allows scrub and woodland to close in, while trampling and nitrogen deposition favour coarse grasses over the lichen rich turf. It follows the mobile white dunes of 2120 once sand movement has ceased."
annex1,2140,"Low, dwarf-shrub heath on decalcified, fixed dune sand along the cooler Atlantic and Baltic coasts, dominated by Empetrum nigrum, often with Calluna vulgaris, growing on stabilised sands that have lost their original lime content through leaching. Occurs on dune ridges and in dune slacks, the latter with Erica tetralix accompanying or replacing Empetrum. Diagnostic species include Carex arenaria, Genista tinctoria, Pyrola rotundifolia, Salix repens and lichens such as Cladonia portentosa; mosses like Hypnum cupressiforme and Dicranum scoparium form a dense ground layer. The stand persists where wind exposure or light grazing keeps scrub and woodland from establishing; without such pressure it develops toward dune scrub or wooded dunes (2180). In Germany the type includes the strongly endangered Empetrum heathland of the Geest. Distinguished from the Atlantic Calluno-Ulicetea dunes of 2150 by the dominance of Empetrum over Calluna and gorse, and from dry sand heaths inland (2310, 2320) by its position on genuinely dune sand."
annex1,2150,"Heath of fixed, decalcified dune sand along the warmer, more humid Atlantic coasts of France, Belgium, Britain and Iberia, dominated by Calluna vulgaris together with Erica cinerea, E. ciliaris, E. scoparia or Ulex species, in Iberia largely built by the alliance Ericion umbellatae. The sward carries a strong contingent of grasses and sedges, including Carex arenaria and C. trinervis, and grows on stable, sharply draining sands that formed on formerly calcareous dune ridges. It is kept open by wind exposure and by light, extensive grazing; where these cease it passes into dune scrub or wooded dunes. Distinguished from the Empetrum-dominated dunes of 2140 further north by the dominance of Calluna and spiny legumes rather than Empetrum, and from inland heaths of 2310 by its dune setting and Atlantic species pool."
annex1,2160,"Sea-buckthorn (Hippophae rhamnoides) scrub forming as a stage of forest colonisation in both dry and humid dune depressions. The nitrogen-fixing shrub forms dense, often thorny thickets that stabilise the sand and enrich it, opening the way for later successional scrub and woodland. It occurs together with Carex arenaria on the open sand beneath and around the stands. As a colonising formation the type is transitional: on Atlantic and Baltic coasts it forms part of a broader scrub mosaic that also includes gorse and other shrub-dominated stands, and it typically gives way in time to broadleaved wooded dunes (2180) or other scrub types once the pioneer stage passes. In the field it is recognised simply by the dominance of Hippophae rhamnoides itself, easily told by its silvery, narrow leaves and orange berries."
annex1,2170,"Creeping willow (Salix repens subsp. argentea, syn. S. arenaria) communities of the Salicion arenariae, colonising wet dune slacks where the willow forms low, mat-like carpets over damp sand. As the water table falls or wind-blown sand accumulates, these stands develop either toward mesophilous communities with Pyrola rotundifolia, Viola canina and Monotropa hypopitys, toward drier Salix stands with Carlina vulgaris and Thalictrum minus, or toward Salix repens stands enriched with Mesobromion grassland elements. The type thus marks a hinge point in dune-slack succession rather than a fixed endpoint. Diagnostic beyond the willow itself is accompanying Hippophae rhamnoides and Carex arenaria on adjoining drier ground. Separated from the wetter dune-slack vegetation of 2190, where creeping willow also occurs but within fen, grassland or reedbed communities rather than as the structuring dominant."
annex1,2180,"Long-established natural or semi-natural forest of coastal dunes across the Atlantic, continental and boreal regions, with a well developed woodland structure and a full complement of woodland species rather than pioneer scrub. On acid dune sand it corresponds to oak and beech-oak groves with birch of the Quercion robori-petraeae, elsewhere to forests of the Quercetalia pubescenti-petraeae. Pioneer stages are open stands of Betula species and Crataegus monogyna, or mixed woodland with Fraxinus excelsior, Quercus robur, Ulmus minor and Acer pseudoplatanus; in wet dune slacks, pioneer Salix alba woodland develops into humid mixed or marsh forest. On the southern Atlantic coast the type is mainly mixed Pinus pinaster and Quercus ilex forest, or stands of Quercus suber, Q. robur or Q. pubescens; on Baltic coasts, pioneer forest of Alnus species or Pinus sylvestris. The species complement varies strongly with local site conditions. Separated from the open dune scrub of 2160 and 2260 by closed canopy and woodland understorey, and from inland forest of the same alliances by its position on stabilised coastal dune sand."
annex1,2190,"Complex of humid depressions within dune systems, among the richest and most specialised dune habitats and strongly threatened by any lowering of the water table. Five subtypes are distinguished by hydrology and vegetation: permanent dune-slack pools with freshwater aquatics such as Chara, Elodea, Hippuris and Potamogeton; pioneer swards of humid sand and pool margins with low salinity; calcareous, occasionally acidic fens often invaded by creeping willow (Salix repens); humid grasslands and rush beds, again often with creeping willow; and reedbeds, tall-sedge stands and canebeds. The mosaic runs from dwarf rush and bryophyte pioneer vegetation through wet grassland to mire, swamp and open water, and the water table fluctuates seasonally, less so around the Baltic. Distinguished from drier, stabilised dune grassland by standing wetness, and from the creeping-willow dominated dunes of 2170, where succession runs toward mesophilous or xerophilous stands rather than fen or open water."
annex1,21A0,"Complex sandy coastal plain habitat of oceanic, cool and moist climates, largely confined to Ireland and Scotland, shaped partly by grazing and rotational cultivation. The wind-blown sand carries a significant share of shell-derived material, giving a lime-rich soil with pH usually above 7. Vegetation is herbaceous grassland with only scattered sand-binding species, including Festuca rubra, Galium verum, Lotus corniculatus, Plantago lanceolata, Poa pratensis and Trifolium repens, with locally occurring specialities such as Dactylorhiza fuchsii subsp. hebridensis and Euphrasia marshallii. The type sits within a wider mosaic of grey dune grassland and, in wetter hollows, dune slack vegetation, without being fully equivalent to either. Traditional low-intensity grazing and rotational cropping maintain the open sward; abandonment or agricultural intensification both threaten it. The priority form is restricted to Ireland."
annex1,2210,"Fixed dune grassland of the western and central Mediterranean, the Adriatic, the Ionian Sea and North Africa, characterised by Crucianella maritima and Pancratium maritimum on stabilised sand set back from the active foredune. The sward sits within a broader belt of Mediterranean and Macaronesian grey dune grassland, from which it is distinguished by the dominance of these two species and by syntaxa of the alliance Crucianellion maritimae, together with companions such as Medicago marina, Medicago littoralis, Elytrigia juncea, Lagurus ovatus and spring ephemerals like Vulpia fasciculata and Malcolmia ramosissima. It occupies a more stable, later successional position than the mobile foredune ahead of it, and gives way landward to Mediterranean dune scrub. Threatened throughout its range by tourism infrastructure, trampling and the spread of non-native species on Mediterranean coasts."
annex1,2220,"Coastal dune grassland of the Mediterranean characterised by Euphorbia terracina together with Ephedra distachya, Silene nicaeensis and S. subconica, on stabilised sands within the wider belt of Mediterranean and Macaronesian grey dune grassland. The type is set apart from neighbouring dune grasslands mainly by the presence and local dominance of Euphorbia terracina and its named companions rather than by a distinct structure; the sward is otherwise a graminoid and herb cover typical of fixed Mediterranean dunes, with spring ephemerals appearing after rain. It occupies a stable position in dune succession, later than the mobile foredune, and gives way to scrub once grazing or disturbance no longer keeps it open. Material for this type is sparse beyond its diagnostic species; distinguishing it in the field rests on their presence."
annex1,2230,"Sparse, short-lived grassland of deep sand in dry interdunal depressions along Mediterranean coasts, dominated by small annuals with an often abundant ephemeral spring bloom. Characteristic species are Malcolmia lacera, M. ramosissima, Evax asterisciflora, E. lusitanica, Anthyllis hamosa and Linaria pedunculata, the dune counterpart of the inland pseudo-steppe grasslands of the Thero-Brachypodietea. The stand is entirely dependent on undisturbed sand and on the seasonal rainfall that triggers germination; trampling or sand extraction removes it directly. It sits within the wider Mediterranean and Macaronesian grey dune grassland belt and is told apart from the perennial swards around it, such as those with Crucianella maritima (2210) or Euphorbia terracina (2220), by its therophyte-dominated, markedly seasonal aspect."
annex1,2240,"Meso- and thermo-Mediterranean dune grassland corresponding to the dunal expression of the pseudo-steppe grasslands with grasses and annuals of the Thero-Brachypodietea, built around Brachypodium species on oligotrophic, base-rich, often calcareous dune sand. The sward is mostly open and short, xerophile and rich in therophytes, occupying stabilised ground within the wider Mediterranean and Macaronesian grey dune grassland mosaic. Diagnostic material for the type itself is limited; distinguishing it from the other Brachypodietalia and Malcolmietalia dune grasslands rests on the dominance of perennial Brachypodium tussocks over the annual-dominated swards of 2230."
annex1,2250,"Juniper formations of Mediterranean and thermo-Atlantic coastal dune slopes and slacks, built by Juniperus turbinata subsp. turbinata, J. macrocarpa, J. navicularis or J. oxycedrus in the alliance Juniperion lyciae, and by Juniperus communis on calcareous dunes further north, including the Jutland dune juniper stands and the J. phoenicea subsp. lycia communities of the Rièges woods in the Camargue. The scrub forms a low, often dense and long-lived canopy over stabilised sand, more permanent than the surrounding grey dune grassland and less closed than wooded dunes proper. It sits within the broader Mediterranean dune scrub belt, from which it is distinguished by the dominance of Juniperus species with associates such as Phillyrea angustifolia, Smilax aspera and Lonicera implexa. Long-lived and slow to regenerate after fire, which is its principal threat."
annex1,2260,"Sclerophyllous, evergreen scrub of dunes in the Mediterranean and warm-temperate humid regions, structurally similar to inland Mediterranean garrigue but developed on dune sand rather than rocky or clay ground. Related western acidophilous garrigue on thin, acidic soils carries species such as Cistus ladanifer, Cistus calycinus, Lavandula pedunculata, Erica australis, E. umbellata and Genista hirsuta, alongside the broader Mediterranean dune scrub with Juniperus, Phillyrea and Smilax aspera. The vegetation is shaped by fire and grazing history, resprouting readily after burning and often derived from clearance of dune woodland. Little further descriptive material is available for the type specifically; in the field it is separated from the juniper-dominated scrub of 2250 by the dominance of Cistus and Lavandula rather than Juniperus, and from wooded dunes by its open, shrubby structure."
annex1,2270,"Coastal dune forest of the Mediterranean and Atlantic regions dominated by thermophilous pines, chiefly Pinus pinea and P. pinaster, with P. halepensis locally, and an understorey that can include Juniperus macrocarpa and J. turbinata subsp. turbinata. Many stands are of planted origin and represent a substitution stage for, occasionally the artificial equivalent of, evergreen oak forest of the Quercetalia ilicis or Ceratonio-Rhamnetalia. Beneath the pine canopy grow sclerophyllous and Mediterranean scrub species such as Pistacia lentiscus, Rhamnus alaternus, Phillyrea angustifolia, Smilax aspera and Rubia peregrina. Where shrubs come to exceed pine cover, the stand passes into Mediterranean dune scrub rather than forest. Distinguished from the broadleaved wooded dunes of 2180 by the coniferous, pine-dominated canopy, and threatened chiefly by fire and by conversion of planted stands."
annex1,2310,"Heath of quartzic, redeposited glacial sand on the dune plains of the North Sea and Baltic coasts, dominated by Calluna vulgaris with Genista anglica and G. pilosa. The substrate is highly siliceous and oligotrophic in the Netherlands, northern Belgium and northwestern Germany, becoming progressively less extreme and more continental in species composition through northeastern Germany, Poland and the eastern Baltic plain. The larger dune systems carry a distinctive assemblage of interacting communities and harbour many specialised, localised organisms, but the type has regressed considerably and surviving stands are fragile and often threatened by nutrient enrichment and by afforestation. Distinguished from the true coastal Empetrum dune heaths of 2140 and 2320 mainly by geographic position on the inland edge of the dune plain rather than on the active dune ridge itself, and from inland dry heath by its position on this glacial sand landscape."
annex1,2320,"Coastal, non-dunal heath on quartzic sand of glacial origin, dominated by Calluna vulgaris together with Empetrum nigrum, occurring behind the active dune belt on the North Sea and Baltic coasts. It shares its substrate and general physiognomy with the Calluna-Genista heaths of 2310, from which it is separated by the co-dominance of Empetrum nigrum rather than Genista species, and it stands apart from the genuinely dune-bound Empetrum heaths of 2140 by its non-dunal, more inland position on the reworked glacial sand plain. As with related heaths, the vegetation depends on continued low-intensity use or natural nutrient poverty to resist encroachment by scrub and woodland, and is vulnerable to nitrogen deposition and to conversion of the underlying sandy ground."
annex1,2330,"Open, often species-poor grassland of dry, siliceous inland dune sand of Atlantic, sub-Atlantic and Mediterranean-montane distribution, with a strong component of annuals. Two closely related forms occur: pioneer stands of unstable Germano-Baltic fluvioglacial sand with Corynephorus canescens, Carex arenaria, Spergula morisonii and Teesdalia nudicaulis, carpeted with fruticose lichens of the genera Cladonia and Cetraria, and grassland of more stabilised inland dune systems with Agrostis species and Corynephorus canescens or other acidophilous grasses. The vegetation depends on continued sand instability or on nutrient-poor, disturbed ground; stabilisation, nutrient enrichment or afforestation all remove it. Distinguished from coastal dune grassland types by its inland setting on relict glacial sand deposits, and from surrounding closed grassland or heath by its open, often lichen-rich sward and dominance of Corynephorus canescens."
annex1,2340,"Sparsely vegetated inland dunes of the Pannonian plain and adjacent basins, forming mosaics of open shifting sand, dune lichen carpets, pioneer swards rich in annuals, and closed dry grassland. Soils are loose, calcareous to slightly acid sands with almost no water retention and strong summer heating. Diagnostic species include the lichens Cladonia convoluta and C. furcata, together with Corynephorus canescens, Thymus serpyllum, Viola tricolor subsp. tricolor, Cerastium semidecandrum and Alyssum montanum subsp. gmelinii; in Austria the association Thymo angustifolii-Corynephoretum canescentis marks fragmentary stands at disturbed sites. The type owes its historic extent to hay harvesting and grazing, which kept the sand open; without this use it stabilises and closes into grassland or scrub within a few decades. Only the full mosaic of open sand, lichen crust and pioneer or closed swards counts here; steppes and meadow steppes on stabilised sand not tied to a dune relief belong to 6260 instead."
annex1,3130,"Nutrient-poor standing waters on whose shores two related vegetation types occur on nutrient-poor sediments: perennial amphibious swards of the Littorelletalia uniflorae along stable water-land interfaces, and short-lived pioneer vegetation of the Isoeto-Nanojuncetea on banks that dry out periodically; the two often occur together but may also stand separately. Both are built from small, low-growing ephemerophytes tolerant of fluctuating water levels. Characteristic Littorelletea species are Littorella uniflora, Potamogeton polygonifolius, Pilularia globulifera, Juncus bulbosus subsp. bulbosus and Eleocharis acicularis; the Isoeto-Nanojuncetea component is marked by Elatine species, Eleocharis ovata, Juncus tenageia, Cyperus fuscus and Limosella aquatica. The German classification records this vegetation on mesotrophic natural lakes and on self-developing gravel and clay pits; the corresponding EUNIS type covers only the exposed-shore pioneer stage and is narrower than this Annex type. Eutrophication, bank fixation and constant water levels remove the type by closing the amphibious zone."
annex1,3170,"Very shallow Mediterranean ponds, only a few centimetres deep, filled in winter and spring and dry for the rest of the year, carrying a flora of Mediterranean therophytes and geophytes rather than the amphibious perennials of comparable northern habitats. Vegetation belongs to the alliances Isoetion, Nanocyperion flavescentis, Preslion cervinae, Agrostion salmanticae, Heleochloion and Lythrion tribracteati, arranged in concentric zones that track the drying sequence. Characteristic, often endemic species include Isoetes species such as I. histrix and I. duriei, Damasonium alisma, Eryngium corniculatum, Ranunculus lateriflorus, Crypsis species and orchids of the genus Serapias. On the Azores the type is represented by the Anthemido-Menthetum pulegii association. The habitat depends entirely on the natural hydroperiod; drainage, levelling, ploughing and eutrophication from adjacent land use destroy it, usually irreversibly given the narrow endemism of much of its flora."
annex1,3220,"Open pioneer vegetation of herbaceous and sub-shrubby plants colonising the unstable gravel beds of streams with an alpine flow regime, high in summer from snowmelt and low the rest of the year, in the alpine and subalpine belts of the high mountains and in boreal and lower Arctic hills further north. Two altitudinal forms are distinguished, a higher one dominated by Epilobium fleischeri with Saxifraga species, Dryas octopetala and Gypsophila repens, and a lower, montane one with Chondrilla chondrilloides, Calamagrostis pseudophragmites and seedlings of riparian willows such as Salix elaeagnos and Myricaria germanica. The vegetation is repeatedly reset by flood and gravel movement, which keeps it permanently pioneer; regulation of the flow regime and channel fixation remove the disturbance the type depends on and let it close into scrub. It grades downstream into the willow and Myricaria scrub of 3230 as sediment stabilises."
